clients,avg_latency_ms,throughput_rps
2,0.7193,2779.10
4,0.7033,5685.10
6,0.6757,8870.80
8,0.7469,10686.50
10,0.7657,13016.70
12,0.7345,16297.60
14,0.8079,17267.60
16,0.7335,21662.00
18,0.7912,22590.50
20,0.8520,23269.20
22,0.9272,23543.10
24,1.0210,23345.00
26,1.0956,23579.90
28,1.1652,23879.30
30,1.2557,23751.40
32,1.3253,24012.80
34,1.3982,24192.00
36,1.4857,24122.30
38,1.4938,25277.90
40,1.5340,25905.00
42,1.6149,25841.30
44,1.8104,24200.20
46,1.7791,25715.20
48,1.8156,26290.90
50,1.9535,25465.00
52,1.9852,26057.20
54,2.1091,25479.40
56,2.1811,25558.50
58,2.2255,25910.60
60,2.2906,26056.90
62,2.3754,25974.30
64,2.4515,25977.60
66,2.7069,24302.30
68,2.5950,26096.00
70,2.7080,25752.60
72,2.7853,25755.10
74,2.8583,25796.10
76,3.1044,24413.00
78,3.1165,24966.10
80,3.0557,26092.70
82,3.1821,25684.60
84,3.2257,25956.00
86,3.3085,25913.70
88,3.3654,26074.90
90,3.4742,25825.00
92,3.7551,24448.60
94,3.9131,23972.90
96,3.6785,26025.10
98,3.7852,25817.50
100,3.8492,25890.10
