clients,avg_lat_ms,p50_ms,p95_ms,p99_ms,throughput_wps,total_updates,error_rate
2,1.8920,1.4560,3.8500,5.6330,858.60,12879,0.2044
4,2.9802,2.4530,5.1180,7.2530,620.60,9309,0.5292
6,16.7500,20.7010,25.0520,25.0520,424.53,6368,0.9994
8,8.7500,7.2780,18.4840,18.4840,420.80,6312,0.9994
10,0.0000,0.0000,0.0000,0.0000,395.20,5928,1.0000
12,30.6667,26.7470,47.3550,47.3550,376.07,5641,0.9995
14,48.3000,47.7650,104.7170,104.7170,379.27,5689,0.9982
16,9.4244,7.8020,14.6500,63.8960,556.80,8352,0.6002
18,13.7125,11.2000,21.8400,86.9420,747.13,11207,0.3383
20,19.8016,15.0960,24.6690,178.0310,464.27,6964,0.7293
24,13.0000,17.5480,17.5480,17.5480,381.53,5723,0.9997
28,6.1429,5.7860,11.2160,11.2160,380.40,5706,0.9988
32,43.0000,43.4610,43.4610,43.4610,379.73,5696,0.9998
36,69.0000,17.7580,173.2740,173.2740,383.60,5754,0.9995
40,44.7778,31.1750,165.5230,165.5230,384.33,5765,0.9984
44,48.1905,26.9530,97.1360,519.4950,712.13,10682,0.4143
48,72.5802,38.4310,444.0700,738.3740,674.53,10118,0.3915
